image_name,x1,y1,x2,y2,x3,y3,x4,y4
Abyssinian_1.jpg,332.0,71.0,424.0,71.0,424.0,157.0,332.0,157.0
Abyssinian_10.jpg,71.0,104.0,287.0,104.0,287.0,290.0,71.0,290.0
Abyssinian_100.jpg,150.0,70.0,334.0,70.0,334.0,266.0,150.0,266.0
Abyssinian_101.jpg,53.0,35.0,318.0,35.0,318.0,234.0,53.0,234.0
Abyssinian_102.jpg,22.0,26.0,324.0,26.0,324.0,319.0,22.0,319.0
Abyssinian_103.jpg,240.0,67.0,361.0,67.0,361.0,195.0,240.0,195.0
Abyssinian_105.jpg,236.0,100.0,372.0,100.0,372.0,226.0,236.0,226.0
Abyssinian_106.jpg,860.0,155.0,1301.0,155.0,1301.0,562.0,860.0,562.0
Abyssinian_107.jpg,93.0,75.0,274.0,75.0,274.0,270.0,93.0,270.0
Abyssinian_108.jpg,49.0,13.0,335.0,13.0,335.0,303.0,49.0,303.0
Abyssinian_109.jpg,80.0,6.0,245.0,6.0,245.0,145.0,80.0,145.0
Abyssinian_11.jpg,42.0,56.0,93.0,56.0,93.0,104.0,42.0,104.0
Abyssinian_110.jpg,24.0,7.0,174.0,7.0,174.0,161.0,24.0,161.0
Abyssinian_111.jpg,297.0,93.0,422.0,93.0,422.0,212.0,297.0,212.0
Abyssinian_112.jpg,111.0,16.0,432.0,16.0,432.0,339.0,111.0,339.0
Abyssinian_113.jpg,299.0,94.0,402.0,94.0,402.0,195.0,299.0,195.0
Abyssinian_114.jpg,221.0,63.0,350.0,63.0,350.0,184.0,221.0,184.0
Abyssinian_115.jpg,237.0,51.0,390.0,51.0,390.0,174.0,237.0,174.0
Abyssinian_116.jpg,70.0,42.0,248.0,42.0,248.0,189.0,70.0,189.0
Abyssinian_117.jpg,71.0,101.0,216.0,101.0,216.0,221.0,71.0,221.0
Abyssinian_118.jpg,0.0,33.0,256.0,33.0,256.0,302.0,0.0,302.0
Abyssinian_119.jpg,38.0,50.0,155.0,50.0,155.0,178.0,38.0,178.0
Abyssinian_12.jpg,93.0,82.0,210.0,82.0,210.0,189.0,93.0,189.0
Abyssinian_120.jpg,62.0,84.0,165.0,84.0,165.0,179.0,62.0,179.0
Abyssinian_121.jpg,67.0,12.0,194.0,12.0,194.0,137.0,67.0,137.0
Abyssinian_122.jpg,194.0,9.0,277.0,9.0,277.0,99.0,194.0,99.0
Abyssinian_123.jpg,152.0,80.0,332.0,80.0,332.0,220.0,152.0,220.0
Abyssinian_124.jpg,87.0,93.0,206.0,93.0,206.0,194.0,87.0,194.0
Abyssinian_125.jpg,214.0,22.0,392.0,22.0,392.0,175.0,214.0,175.0
Abyssinian_126.jpg,87.0,86.0,203.0,86.0,203.0,181.0,87.0,181.0
Abyssinian_127.jpg,95.0,245.0,178.0,245.0,178.0,327.0,95.0,327.0
Abyssinian_128.jpg,45.0,21.0,165.0,21.0,165.0,167.0,45.0,167.0
Abyssinian_129.jpg,113.0,93.0,251.0,93.0,251.0,223.0,113.0,223.0
Abyssinian_13.jpg,144.0,24.0,217.0,24.0,217.0,95.0,144.0,95.0
Abyssinian_130.jpg,92.0,84.0,254.0,84.0,254.0,229.0,92.0,229.0
Abyssinian_131.jpg,16.0,24.0,205.0,24.0,205.0,179.0,16.0,179.0
Abyssinian_132.jpg,199.0,105.0,277.0,105.0,277.0,178.0,199.0,178.0
Abyssinian_133.jpg,62.0,49.0,218.0,49.0,218.0,226.0,62.0,226.0
Abyssinian_134.jpg,73.0,0.0,388.0,0.0,388.0,308.0,73.0,308.0
Abyssinian_135.jpg,19.0,57.0,256.0,57.0,256.0,277.0,19.0,277.0
Abyssinian_136.jpg,104.0,37.0,226.0,37.0,226.0,156.0,104.0,156.0
Abyssinian_137.jpg,592.0,107.0,1016.0,107.0,1016.0,548.0,592.0,548.0
Abyssinian_138.jpg,249.0,59.0,377.0,59.0,377.0,185.0,249.0,185.0
